age,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,lg_id,mp,name,obpm,orb_pct,ows,per,pid,pos,ring,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
33,21.7,0.0,0.2,-2.4,5.8,0.2,.056,.112,8,NBA,158,Fred Brown,2.5,4.0,0.2,17.6,3687,SG,False,1981-82,1.6,SEA,8.8,4.9,.509,27.4,0.1,0.3,.093
34,22.0,0.0,-4.9,0.9,10.8,0.0,.000,.222,2,NBA,30,Fred Brown,-5.8,0.0,0.0,7.4,3687,PG,False,1982-83,1.7,SEA,0.0,4.8,.304,13.2,0.0,0.0,.005
35,18.2,0.0,-1.3,-2.4,5.9,0.1,.064,.234,5,NBA,88,Fred Brown,1.1,2.6,0.0,17.5,3687,SG,False,1983-84,2.4,SEA,5.5,4.3,.473,28.3,0.0,0.1,.076
25,12.4,0.6,1.5,0.3,13.4,0.1,.270,.459,9,NBA,130,Devin Brown,1.2,3.5,0.3,15.4,3689,SG,False,2003-04,1.3,SAS,13.6,8.3,.585,18.6,0.1,0.4,.154
26,8.3,0.0,-4.0,-1.9,11.6,0.1,.350,.350,12,NBA,60,Devin Brown,-2.1,2.0,0.0,10.0,3689,SG,True,2004-05,0.9,SAS,4.2,6.9,.455,18.8,0.0,0.1,.070
29,17.8,0.0,-2.5,-0.3,14.8,0.1,.500,.441,8,NBA,92,Devin Brown,-2.1,10.3,-0.2,7.3,3689,SG,False,2007-08,1.2,CLE,18.1,12.5,.406,25.7,0.0,-0.1,-0.030
30,0.0,0.0,-14.0,-2.5,11.5,0.0,.500,.250,3,NBA,33,Devin Brown,-11.4,7.1,-0.1,2.3,3689,SG,False,2008-09,0.0,NOH,25.3,9.2,.450,17.1,-0.1,-0.1,-0.168
31,0.0,0.0,-11.2,-8.7,61.2,0.0,.000,1.000,1,NBA,2,Devin Brown,-2.5,0.0,0.0,41.0,3689,SG,False,2009-10,0.0,CHI,0.0,29.1,.694,32.5,0.0,0.0,.098
22,0.0,0.0,18.6,-11.6,0.0,0.0,.000,.000,2,NBA,1,Derrick Brown,30.2,0.0,0.0,90.6,3690,SF,False,2009-10,0.0,CHA,0.0,0.0,1.000,49.4,0.0,0.0,1.495
22,27.1,0.0,-9.4,-3.7,4.5,0.0,.353,.235,8,NBA,52,Dee Brown,-5.6,2.2,-0.1,4.5,3691,PG,False,2006-07,0.0,UTA,17.6,3.4,.346,19.6,-0.1,-0.1,-0.112
22,21.8,1.3,1.7,1.9,13.8,0.3,.046,.315,11,NBA,284,Dee Brown,-0.1,3.8,0.2,16.2,3692,PG,False,1990-91,2.0,BOS,15.2,9.0,.545,22.3,0.3,0.4,.075
23,35.9,2.3,0.7,0.8,9.8,0.0,.068,.136,6,NBA,120,Dee Brown,-0.1,2.9,0.2,16.0,3692,PG,False,1991-92,0.4,BOS,13.0,6.2,.515,19.8,0.1,0.2,.084
24,15.6,1.9,-3.0,-0.5,3.8,0.0,.171,.341,4,NBA,133,Dee Brown,-2.5,1.9,0.1,10.6,3692,PG,False,1992-93,0.8,BOS,11.3,2.9,.477,18.0,0.0,0.1,.049
26,21.6,0.4,3.7,1.9,9.3,0.1,.419,.258,4,NBA,172,Dee Brown,1.9,3.8,0.3,15.7,3692,SG,False,1994-95,1.6,BOS,9.2,6.5,.543,19.9,0.3,0.5,.129
