age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,ring,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
25,0,0,0,0,0,0,1,0,2,NBA,6,Sean Williams,,,,100%,,1359,6.2,7.1,C,False,2011-12,BOS,0,0,1
32,2,29,13,4,,3,24,0,17,NBA,378,Scott Williams,,,,47%,53%,1360,5.9,5.0,C,False,2000-01,MIL,4,3,5
34,0,3,1,3,,0,7,0,6,NBA,83,Scott Williams,,,,6%,94%,1360,3.5,-4.1,C,False,2002-03,PHO,1,0,0
35,0,0,0,0,,0,2,0,3,NBA,11,Scott Williams,,,,,100%,1360,-19.9,-18.2,C,False,2003-04,DAL,0,0,0
29,0,0,0,0,,0,2,0,3,NBA,14,Monty Williams,,,60%,40%,,1371,-5.1,-13.0,SF,False,2000-01,ORL,0,1,0
30,0,20,2,6,,0,4,0,4,NBA,93,Monty Williams,,,94%,6%,,1371,32.1,12.4,SF,False,2001-02,ORL,0,2,3
31,0,0,0,3,,0,2,0,10,NBA,96,Monty Williams,,,95%,5%,,1371,-12.9,-9.7,SF,False,2002-03,PHI,4,0,0
23,0,21,0,2,,0,5,0,5,NBA,75,Mo Williams,99%,1%,,,,1373,-31.9,-32.9,PG,False,2005-06,MIL,4,2,0
26,5,126,12,8,,3,20,0,14,NBA,541,Mo Williams,100%,,,,,1373,9.3,12.3,PG,False,2008-09,CLE,15,7,8
27,2,131,15,3,,0,21,0,11,NBA,411,Mo Williams,100%,,,,,1373,20.2,6.0,PG,False,2009-10,CLE,15,7,1
29,1,32,5,5,0,2,5,0,11,NBA,229,Mo Williams,1%,99%,,,,1373,12.2,2.1,SG,False,2011-12,LAC,6,3,3
31,1,35,1,3,0,2,9,1,8,NBA,187,Mo Williams,100%,,,,,1373,-10.5,-13.4,PG,False,2013-14,POR,7,4,3
