age,avg_dist,fg2_dunk,fg2_pct,fg2_pct_ast,fg2a_pct_fga,fg3_heave,fg3_pct,fg3_pct_ast,fg3_pct_corner,fg3a_heave,fg3a_pct_fga,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,g,lg_id,mp,name,pct_fg2_dunk,pct_fg3a_corner,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pid,pos,ring,season,team_id
26,15.6,0,.444,.750,.900,0,.000,,,0,.100,.400,,1.000,.600,.000,1,NBA,22,Tim Thomas,.000,.000,.000,.100,.500,.300,1385,SF,False,2003-04,NYK
28,16.1,8,.536,.433,.509,0,.444,1.000,.417,1,.491,.491,.604,.500,.480,.467,20,NBA,636,Tim Thomas,.041,.222,.218,.109,.114,.068,1385,PF,False,2005-06,PHO
31,18.5,1,.333,1.000,.600,0,.250,1.000,.000,0,.400,.300,1.000,,.000,.333,2,NBA,15,Tim Thomas,.100,.250,.100,.000,.200,.300,1385,PF,False,2008-09,CHI
28,5.1,0,.532,.560,1.000,0,,,,0,.000,.532,.560,.500,.583,.000,5,NBA,186,Kurt Thomas,.000,,.532,.170,.255,.043,1381,PF,False,2000-01,NYK
31,13.2,0,.429,.857,1.000,0,,,,0,.000,.429,.429,.500,.500,.333,4,NBA,139,Kurt Thomas,.000,,.143,.041,.449,.367,1381,PF,False,2003-04,NYK
33,,0,,,,0,,,,0,,,,,,,1,NBA,6,Kurt Thomas,,,,,,,1381,C,False,2005-06,PHO
34,12.4,0,.523,.912,1.000,0,,,,0,.000,.523,.571,.750,.529,.467,11,NBA,212,Kurt Thomas,.000,,.215,.062,.262,.462,1381,C,False,2006-07,PHO
35,12.6,0,.457,.813,1.000,0,,,,0,.000,.457,.600,.750,.467,.361,17,NBA,268,Kurt Thomas,.000,,.214,.057,.214,.514,1381,PF,False,2007-08,SAS
36,10.2,0,.455,1.000,1.000,0,,,,0,.000,.455,.750,,.000,.667,5,NBA,80,Kurt Thomas,.000,,.364,.000,.364,.273,1381,PF,False,2008-09,SAS
37,12.5,0,.486,.824,1.000,0,,,,0,.000,.486,.857,.750,.222,.400,7,NBA,199,Kurt Thomas,.000,,.200,.114,.257,.429,1381,C,False,2009-10,MIL
38,13.6,1,.625,.800,.889,0,.000,,,0,.111,.556,.750,1.000,.750,.429,7,NBA,74,Kurt Thomas,.056,.000,.222,.056,.222,.389,1381,PF,False,2010-11,CHI
24,2.0,0,.500,.000,1.000,0,,,,0,.000,.500,.500,,,,3,NBA,6,Malcolm Thomas,.000,,1.000,.000,.000,.000,1382,PF,False,2012-13,CHI
25,5.4,11,.535,.648,1.000,0,,,,0,.000,.535,.574,.500,.462,.500,12,NBA,389,Kenny Thomas,.119,,.535,.218,.129,.119,1380,PF,False,2002-03,PHI
27,7.1,2,.511,.391,1.000,0,,,,0,.000,.511,.571,.444,.667,.417,5,NBA,153,Kenny Thomas,.067,,.467,.200,.067,.267,1380,PF,False,2004-05,SAC
28,6.2,1,.542,.385,1.000,0,,,,0,.000,.542,.583,.600,.500,.333,6,NBA,148,Kenny Thomas,.125,,.500,.208,.167,.125,1380,PF,False,2005-06,SAC
30,2.5,0,.500,1.000,1.000,0,,,,0,.000,.500,.750,.000,,,8,NBA,56,John Thomas,.000,,.667,.333,.000,.000,1379,C,False,2005-06,NJN
