age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,ring,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
22,10,67,32,12,0,6,13,0,11,NBA,393,Blake Griffin,,,,57%,43%,801,-3.6,-5.8,PF,False,2011-12,LAC,5,8,12
23,4,35,9,3,0,2,10,0,6,NBA,158,Blake Griffin,,,,80%,20%,801,-13.7,-12.8,PF,False,2012-13,LAC,4,4,5
24,9,113,38,11,3,9,18,2,13,NBA,478,Blake Griffin,,,,90%,11%,801,0.9,1.8,PF,False,2013-14,LAC,7,13,11
25,14,211,47,23,1,2,25,2,14,NBA,557,Blake Griffin,,,,92%,8%,801,15.0,4.0,PF,False,2014-15,LAC,23,18,4
26,3,38,10,5,0,1,2,0,4,NBA,127,Blake Griffin,,,,92%,8%,801,2.9,1.6,PF,False,2015-16,LAC,0,8,1
27,1,19,2,4,0,0,1,1,3,NBA,99,Blake Griffin,,,,100%,,801,11.3,6.0,PF,False,2016-17,LAC,3,2,0
24,0,0,1,0,0,0,0,0,5,NBA,8,JaMychal Green,,,,89%,11%,799,30.4,29.4,PF,False,2014-15,MEM,0,0,0
25,0,7,3,2,0,1,2,0,4,NBA,72,JaMychal Green,,,,91%,9%,799,-19.9,-36.9,PF,False,2015-16,MEM,0,2,1
26,1,5,1,2,0,1,12,0,6,NBA,118,JaMychal Green,,,2%,98%,,799,17.6,1.0,PF,False,2016-17,MEM,2,1,1
23,1,24,6,6,,0,9,0,6,NBA,224,Jeff Green,,,37%,62%,1%,800,-26.1,-8.4,PF,False,2009-10,OKC,3,2,1
24,2,4,9,5,2,1,7,0,9,NBA,173,Jeff Green,,,59%,41%,1%,800,-19.4,-10.4,SF,False,2010-11,BOS,2,9,1
26,3,35,19,9,1,3,8,0,6,NBA,258,Jeff Green,,,,74%,27%,800,-33.0,-10.6,PF,False,2012-13,BOS,5,5,9
28,2,44,11,10,1,3,3,4,11,NBA,298,Jeff Green,,,63%,37%,1%,800,5.6,2.0,SF,False,2014-15,MEM,8,4,4
29,1,9,11,2,0,0,6,1,6,NBA,159,Jeff Green,,,18%,81%,1%,800,0.0,0.0,SF,False,2015-16,LAC,0,3,0
31,4,80,21,8,2,0,21,2,22,NBA,523,Jeff Green,,,21%,75%,5%,800,-1.3,-2.6,PF,False,2017-18,CLE,7,8,0
23,0,2,0,0,,0,1,0,3,NBA,10,Brandon Hunter,,,,100%,,796,-49.3,-66.1,PF,False,2003-04,BOS,1,0,0
21,0,3,4,1,,1,5,0,6,NBA,69,Kris Humphries,,,2%,83%,15%,794,9.8,1.6,PF,False,2006-07,TOR,1,1,1
22,0,0,0,0,,0,0,0,3,NBA,2,Kris Humphries,,,,,100%,794,-27.9,-33.3,PF,False,2007-08,TOR,0,0,0
27,1,3,4,2,0,1,4,0,7,NBA,83,Kris Humphries,,,,92%,8%,794,-20.0,-13.6,PF,False,2012-13,BRK,0,0,2
29,0,0,0,0,0,0,0,0,1,NBA,5,Kris Humphries,,,,100%,,794,-41.5,-36.4,PF,False,2014-15,WAS,0,0,0
30,0,10,2,0,0,0,3,2,4,NBA,56,Kris Humphries,,,,47%,53%,794,19.7,15.9,PF,False,2015-16,ATL,1,1,0
